	ID	GG_F_16S_Unassigned;__	GG_F_16S_k__Archaea;p__Euryarchaeota	GG_F_16S_k__Bacteria;__	GG_F_16S_k__Bacteria;p__	GG_F_16S_k__Bacteria;p__Actinobacteria	GG_F_16S_k__Bacteria;p__Bacteroidetes	GG_F_16S_k__Bacteria;p__Cyanobacteria	GG_F_16S_k__Bacteria;p__Elusimicrobia	GG_F_16S_k__Bacteria;p__Firmicutes	GG_F_16S_k__Bacteria;p__Fusobacteria	GG_F_16S_k__Bacteria;p__Lentisphaerae	GG_F_16S_k__Bacteria;p__Proteobacteria	GG_F_16S_k__Bacteria;p__Spirochaetes	GG_F_16S_k__Bacteria;p__Synergistetes	GG_F_16S_k__Bacteria;p__TM7	GG_F_16S_k__Bacteria;p__Tenericutes	GG_F_16S_k__Bacteria;p__Verrucomicrobia	GG_F_16S_Unassigned;__;__;__;__	GG_F_16S_k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	GG_F_16S_k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae]	GG_F_16S_k__Bacteria;__;__;__;__	GG_F_16S_k__Bacteria;p__;c__;o__;f__	GG_F_16S_k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	GG_F_16S_k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	GG_F_16S_k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	GG_F_16S_k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	GG_F_16S_k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae	GG_F_16S_k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	GG_F_16S_k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;__	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	GG_F_16S_k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	GG_F_16S_k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__	GG_F_16S_k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	GG_F_16S_k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae	GG_F_16S_k__Bacteria;p__Firmicutes;__;__;__	GG_F_16S_k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	GG_F_16S_k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	GG_F_16S_k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	GG_F_16S_k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__	GG_F_16S_k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae
0	ID-GB-541311	0.766028087076494	0.0020710544323543395	0.0021898255999590844	0.003894241745923856	0.004075287525736896	0.005595388610867473	0.0043018340747836255	0.0013790047723456862	0.013383148971223453	0.010694844371335886	0.00808256264376577	0.005946695091012309	0.0052286101079043355	0.004398605118622957	0.00024141881558101673	0.00155560144721335	0.005374309550789012	0.011797301927046842	0.0048638869510015835	0.005142680429505399	0.0017889709190348955	0.006154189743139053	0.008510578434013663	0.0037894460384252	0.004774685707139928	0.007501973714713848	0.0007236111341207196	0.01156686506566432	0.005954757249047492	0.0037739563483915107	0.011249583463396778	0.013529699353966994	0.005590403045066892	0.010949580455976979	0.0031537355878628625	0.009481356563909435	0.010137876040801273	0.0075362133370474845	0.010165289364224098	0.0012413081446415676	0.011784575095145118	0.0010735072594952142	0.00887043301405901	0.005663387460969778	0.002986005322709273	0.010970500550249824	0.0035097568047289824	0.002524593126105803	0.008395387996187506	0.005021370791776707
1	ID-GA-61208	0.33785840625991514	0.0024716762719389712	0.0034431530207303324	2.4837751250941602e-05	0.0024472020636115968	0.003621864350614338	0.009264513863526757	0.013273509925223415	0.004630234996755713	0.003173490550340274	0.006421670300203539	0.008448804123387466	0.010400798542426561	0.001079053476096766	0.006299247459369111	0.009798596466221787	0.011241569536014493	0.010789530040467227	0.0099809281774292	0.010086001473268316	0.009420075345203886	0.001391577265230156	0.0021234204234383694	0.0026740062824804167	0.006884981308476338	0.010445528405921565	0.007092570446796817	0.004928086640873576	0.004686885904139285	0.011556295557464537	0.011218847978775563	0.007372041305982506	0.009553520319452875	0.0034033645946119234	0.002744725959378555	0.0003624842407837083	0.010992391302979852	0.005886118159081556	0.005777904088219295	0.0064185431974490455	0.009796225512839625	0.003061578778848574	0.007759409971733871	0.005181529556807053	0.003580550912187662	7.369767914446022e-05	0.0026454222035074007	0.009273716429865832	0.01120230701678188	0.010344020513551168
2	ID-GB-659249	0.07745969205086511	0.002393196598984844	0.003916019722017342	2.9448211357744345e-05	0.007944034298505386	0.0069240583305073804	0.004018519496052306	0.004491469525914858	0.011737616634093314	0.006474365036890967	0.009492620263646454	0.002138929012098497	0.006496374500613672	0.006335397025924418	0.010202767859876305	0.003759662434999436	0.004616163780856708	0.007435790622107669	0.004687109253743751	0.0010381792130368726	0.005142124144487224	0.0019644621243197543	0.005867843678222516	0.009088656760907058	0.011548885300096897	0.00971677442563953	0.01105897426512012	0.00632511964897551	0.010278565993158116	0.005925320805764759	0.006318456625558945	0.0069298727818989814	0.004320195763422208	0.008242711264110997	0.00757875963892124	0.011019575979072322	0.008248132937637327	0.008879201006363992	0.00794401996732908	0.013776721579854283	0.01233728452661851	0.009739575011323455	0.00032575094612074683	0.0019304324901346297	0.004587020848301938	0.005069465295502502	0.00684892375922747	0.004010834304957239	0.010535157925835974	0.010047772303637341
3	ID-GA-803539	0.6727931668866416	0.010753565312044307	0.001561293810353616	0.005768936604114789	0.0037837034961479233	0.001483735098665794	0.004640041750743482	0.0028168154659813267	0.011646735053493147	0.007702386439641702	0.0011226362112186751	0.0024757315206509986	0.01015613890037488	0.0008132006461341841	0.009455081925455322	0.01257918738967571	0.0039499001988740285	0.004625946260053625	0.00016430728215129903	0.00880640134506666	0.0060905311042314695	0.013722426436955627	0.002194318556993567	0.0031696547575058927	0.006362647476525225	0.004349513526587513	0.00457972135030099	0.0034507033994857304	0.005629522334462152	0.009980403784169279	0.012295152217350027	0.0076852015914639586	0.0033103700932149297	0.00797020568199729	0.00033431900230772164	0.010644148076011745	0.007529025924706178	0.009475793214143779	0.008766956785133236	0.0001693473733845979	0.0029960546756403225	0.012549636067424244	0.010595418977193927	0.0076478806118317755	0.006007536440665753	0.0026518765929838058	0.011353551923697488	0.006636583915012181	0.007534810442806823	0.008985174148830126
4	ID-GB-100735	0.37173690291888173	0.002485293631668178	0.0006362604184006221	0.008033081115538432	0.01204776729944945	0.012218608210298394	0.006431122807285793	0.0004852208912023016	0.009493057517969767	0.006048138183499442	0.003549231696537265	0.013470061157302813	0.006542873912204945	0.011570884738478988	0.009557269225526315	0.010586078451097648	0.0023661431938324	0.004923196801172926	0.011697946599836091	0.0107004034151824	0.0009596784010036059	0.004751936343431058	0.00397961528125591	0.012968335935147022	0.005299101274825288	0.010487080687172884	0.0025577974455878397	0.009425094474875178	0.002461929511849648	0.003474953842389312	0.010225502596259074	0.0030666189449924676	0.0016521511217230348	0.012452002185095654	0.003247140536786285	0.004460982493397762	0.007952892309456339	0.009695428178430613	0.006811263762785349	0.003951609182213582	0.005125809725120705	0.011617103667396246	0.0009315511700885165	0.009075565993532477	0.012007903417243287	0.0008468231552794737	0.006991027867727975	0.004132922073080754	0.00394556092229568	0.011979703042757972
5	ID-GA-539874	0.982086615282124	0.0018825712017701483	0.0006131665047012509	0.009326198724389155	0.006951181664849998	0.004549964750814372	0.011139166565859704	0.0030235131883509718	0.0010039123342346823	0.002501767078045725	0.005321872975266891	0.013870483022851668	0.0036160063704447293	0.006309859054129953	0.002119766268972606	0.000885850227739489	0.010273698700727259	0.0009392958135051598	0.012231125304993791	0.005295174422701818	0.006664441106469771	0.009656009307158767	0.005399600610115073	0.008902369635805603	0.0044010669464752085	0.003430480422758998	0.010688826047059034	0.002131943703554053	0.0005830456665843234	0.009016175977681012	0.009737145482853524	0.0025203283063490738	0.007726895925824899	0.009128187659566711	0.009188388575314902	0.003769534780290088	0.010756407354776011	0.0037400074423530774	0.0018352515037057297	0.0009338507903113515	0.013408707889837392	0.007904434277397385	0.012201582947092737	0.010930924132728682	0.0034537654778402926	0.0033102488658534068	0.007648697128408874	0.014885381692551674	0.00808580510194865	0.012144401476240817
6	ID-GB-210662	0.9009661551776634	0.00019252879146777375	0.013026310803348876	0.007131373701378114	0.004170821148165574	0.003366449121216674	0.009133981162781286	0.0039053814033520695	0.010244948476426496	0.00885541028960898	0.001635522061633351	0.0005507325838512411	0.008938970752321963	0.01068189767730915	0.01213247751063369	0.0006995640103972174	0.012756546565255263	0.00940692521679224	0.005288723698229407	0.004620281646175841	0.0046117318277143805	0.006172469443970716	0.006726210540354856	0.0018324557056793949	0.0008334150626100029	0.0016377797071823442	0.007709844222186564	0.006655657977463855	0.002310335675118948	0.0011910868984820852	0.0011484423460018135	5.342223210810589e-06	0.009322819002680872	0.0016444161827124043	0.00542407829274983	0.009589746515006036	0.012984342627264153	0.006818581004689965	0.01219936684955197	0.010878810972833148	0.008245081692958598	0.0020173000376508474	0.007672844311407501	0.007729889354658167	0.012852589422902818	0.011094799966384891	0.012579402522156767	0.014116248328349736	0.010860966056189988	0.007954312025660347
7	ID-GA-721516	0.25536541727366746	0.0074784406836245	0.00522213406672538	0.012414317003357949	0.004800049892045039	0.008891361354004153	0.0007841805698117975	0.01244070422271275	0.002179477011354569	0.009317317193850974	0.0020100864278789743	0.013356774683639588	0.004012267165422509	0.007130002052341415	0.01076380153299323	0.002851626721336677	0.006308118691548933	0.0033531019416830365	0.007467928330896987	0.008737785585483169	0.012935676889782342	0.002777588319542703	0.009763290933357047	0.011652076017819108	0.007517913734996305	0.010211244334453862	0.0018025170567231668	0.011645380180852058	0.01233037267225568	0.002006741965238405	0.005422926304002678	0.003434850971373258	0.010243292061402573	0.0014254438120951687	0.0007748316971003555	0.003479386942304268	0.005053815290877014	0.004176565110923401	0.010708278027440234	0.00805792981545283	0.012450893431773061	0.0008579503075812035	0.004501458125159497	0.005970072420173269	0.008439917576238489	0.011597871534179162	0.0056315845101585545	0.0041345350642079965	0.012057489603795055	0.003940055646153649
8	ID-GB-252028	0.6453460156663021	0.0021926340008954132	0.00904453308267537	0.008278116898366224	0.005887659361124148	0.0071052540249732146	0.0042319183742542356	0.0009408921042606966	0.006082249780267466	0.009001642830647655	0.012058560902466865	0.0059884216067546785	0.012549273042369987	0.010491008243135364	0.012881601853269474	0.000941895796007457	0.0025184390743145293	0.008183933790704494	0.008167319624875078	0.011509612365187084	0.011130923077084208	0.011133485229363197	0.010950420198023062	0.0012629120558397483	0.0038872452063632404	0.0037695225192257453	0.0026981810115533134	0.009099601483774773	0.0064272183956628785	0.010027417951477177	0.0011898700332841493	0.010377499201808802	0.0004796146459686277	0.0102950346267641	0.009396627491325372	0.007667038107670015	0.0004974295972547143	0.001610572084784646	0.005587791628777425	0.005559014669393061	0.012780014060948395	0.01111709080931931	0.0014424238012740308	0.009874441123794958	0.006306276548333279	0.011629051560612795	0.006599840222585474	0.002274713294588902	0.012520934627825374	0.01089842240055159
9	ID-GA-664541	0.507629513084246	0.007067273733241214	0.0016828103525983085	0.007145285626751997	0.0026063755676183097	0.008634173627289726	0.006565030248285176	0.0028292918888405388	0.010040884963415018	0.002632652994492845	0.010669964242522333	0.007600109707800967	0.005794115556336144	0.009571296077033328	0.009713512148172789	0.0029186780394169884	0.007299529154673208	0.006545375529330892	0.007605401549958564	0.007055951499562791	0.011979999002030948	6.980393148374487e-05	0.008586941048941189	0.00381771828843656	0.006659441221812677	0.0075231101628689375	0.0019925988803029225	0.0071823780957953505	0.013304683063348331	0.005709895460168453	0.0020211683128338984	0.006361327143510863	0.012698789490488388	0.009251255596352408	0.01240838919811982	0.004882580311581194	0.005269522250129845	0.0086010693093995	0.005212173113576356	0.00012665980473711976	0.01197668861818595	0.00966848449262553	0.009327011186488888	0.005338933753515006	0.005337081632800497	0.01333681998961777	0.004312427997995585	0.012734076610599252	0.01261142239007072	0.012044593450044227
